,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
Seg_size,8950.0,5829.0,1590.0,1531.0,712.0,3135.0,1273.0,3830.0,2919.0,693.0,1341.0,1100.0,2897.0,2726.0,625.0,1211.0,1026.0,2704.0,658.0,1060.0,1948.0,1017.0,2638.0,615.0,480.0,1192.0,2610.0,974.0,168.0,1892.0,455.0,1056.0,1184.0,611.0
Seg_Pct,1.0,0.6512849162011173,0.1776536312849162,0.17106145251396648,0.07955307262569833,0.35027932960893854,0.1422346368715084,0.42793296089385474,0.326145251396648,0.07743016759776536,0.14983240223463687,0.12290502793296089,0.3236871508379888,0.3045810055865922,0.06983240223463687,0.13530726256983241,0.1146368715083799,0.302122905027933,0.0735195530726257,0.11843575418994413,0.2176536312849162,0.11363128491620111,0.2947486033519553,0.06871508379888268,0.053631284916201116,0.13318435754189945,0.2916201117318436,0.1088268156424581,0.01877094972067039,0.21139664804469274,0.050837988826815644,0.11798882681564246,0.1322905027932961,0.068268156424581
BALANCE,1541.0467067617985,788.1136561593953,3904.4717427861624,1953.196246071192,2843.2970373735902,782.310601446533,4335.792286194029,991.1052791248643,806.4605828283651,2879.2045735685374,104.97390813579412,4527.905526835454,1491.7344578633092,843.4666902006593,829.2445206277752,102.94637481811719,4690.143769860624,1529.4506797381657,2891.200299156529,1213.787475805659,765.6481742464058,4699.113876445429,1521.2394719912813,830.190927252617,3313.751596214577,101.57209046203013,1516.361148813793,4633.4197027597575,3639.784483488096,692.7118482965112,3219.641657826371,1235.7482335928019,101.70163201413844,833.5813504637636
BALANCE_FREQUENCY,0.8780833200000044,0.8292102334877327,0.9590450918238991,0.9800767909862822,0.983908264044943,0.9275224185007944,0.9656672058130397,0.7888318263707577,0.9592523549160643,0.983991803751803,0.3854588881431775,0.9628445963636353,0.9668113030721419,0.9618952112986033,0.7995824128000004,0.3809946573080105,0.9686962729044822,0.9740411002218915,0.9846600592705161,0.9708207301886771,0.9560468973305931,0.9680616912487697,0.9737776027293384,0.7974527674796752,0.9857154979166665,0.3779156350671147,0.9731801011494231,0.9672324394250503,0.988937,0.9539088361522176,0.9849306351648348,0.97150221306818,0.37603883530405463,0.7963086137479546
PURCHASES,936.2292368715101,446.96927431806324,404.4305974842775,3351.288778576092,4922.007935393262,1046.7423508771924,451.7507855459547,265.8396866840733,1100.9578108941407,4962.748888888893,326.00225950783,503.3393909090912,253.8931584397659,1154.276265590608,401.04662399999995,341.428687035508,518.5742787524368,256.7877071005923,5079.269179331312,2047.9852735849054,912.2148819301825,511.47672566371693,238.86633434420068,380.91372357723566,5519.5986250000105,333.4078775167787,243.2221609195407,498.7011601642711,990.90380952381,906.8983773784341,5604.82720879122,2082.3292424242413,333.0305658783785,381.24235679214394
INSTALLMENTS_PURCHASES,384.4983681564239,199.81066563733077,133.60029591194962,1348.229624101896,1841.9283349719099,553.509432216905,154.23160290651998,51.754182767624016,571.5689174374778,1863.0978419913424,124.16322893363171,172.99258227272733,43.12364169830857,596.242520176081,148.50070399999998,133.82687861271685,177.55968859649127,47.65302144970412,1899.6899460486322,396.22726415094365,723.747469199177,178.55241937069817,46.45438589840788,146.11471544715442,2213.914738541665,129.80312080536916,46.97990421455937,172.7900410677618,616.3283482142855,716.6018763213516,2237.2206428571417,408.5572348484851,129.29215371621626,144.90620294599015
CASH_ADVANCE,935.9209721677078,332.6496907227656,3682.0217146140867,380.8380976104506,608.6830668977528,175.8232752194576,4113.876027412251,562.6475735146213,185.33588916443975,571.945895195671,304.5793778978376,4461.4397680485445,732.8664288729727,173.48643407006588,1035.6518821311997,295.8110059355906,4524.301125270373,693.665575210799,578.1982632349544,223.93512630660373,191.09504661447633,4543.294166891252,696.269892874905,1048.772667422764,650.7580605345833,295.48583184312093,707.6587639091952,4650.064192730597,756.4545526059528,177.58517577589845,660.990412473846,226.61017639678033,297.4823577339528,1055.6386095990179
PURCHASES_FREQUENCY,0.4903505483798885,0.4386347183050279,0.23982811194968526,0.9474258242978433,0.9555140758426957,0.8706878698564584,0.27045157737627645,0.1656449232375985,0.8832213210003411,0.9559779033189025,0.27879192095451166,0.29274155090909054,0.15607387400759362,0.8878381415994117,0.42171047359999986,0.27697969364161873,0.29510752339181284,0.1618439992603546,0.955915936170212,0.8763369679245281,0.8875473382956865,0.29140968928220257,0.14989390257771001,0.4138204894308942,0.9623032520833338,0.27062841946308763,0.15280096513409927,0.2927478254620125,0.5070131547619051,0.8867884926004217,0.9640781560439565,0.8831401297348482,0.2691349180743246,0.4121132373158755
ONEOFF_PURCHASES_FREQUENCY,0.20245768357542138,0.12917736198318894,0.1148873691823902,0.5724039895493142,0.6624636839887644,0.2666400966507189,0.13048655223880615,0.08832794804177545,0.2838798852346706,0.6619876998557004,0.07445032587621182,0.1415560536363638,0.09286981739730799,0.2973992377109331,0.12264824320000008,0.0727176284062759,0.1412765643274854,0.09277459874260419,0.6698441884498483,0.7692451943396231,0.08516113603696104,0.13761037954768926,0.08459362130401875,0.11784487154471553,0.6447411729166669,0.07184931291946318,0.08761809463601586,0.14001437268993835,0.08047737499999996,0.08525127325581397,0.65892109010989,0.7716654299242429,0.07175764189189203,0.11861636006546653
PURCHASES_INSTALLMENTS_FREQUENCY,0.3644373415642452,0.31551368588093975,0.14849343459119493,0.77497084977139,0.8195396151685395,0.6947006925039858,0.16834528515318148,0.0746767054830288,0.700508565604657,0.8220474329004331,0.19424268232662176,0.18620452363636367,0.06280511563686576,0.7065114035216415,0.28084635040000044,0.19667045995045399,0.1910040701754386,0.06872310170118347,0.8210786960486327,0.4094109386792456,0.8421962551334679,0.19097362438544738,0.06566900833965128,0.27823138536585407,0.8756702625000004,0.19148595553691258,0.06598223524904218,0.18947221047227927,0.45837200000000006,0.8400888202959806,0.8778133164835167,0.4214271884469701,0.19010522972972954,0.2765684680851067
