Title,About,EpisodeDuration(in Minutes),Genres,Actors,Rating,Votes,Years
The Family Man,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job.",42,"Action, Comedy, Drama","Manoj Bajpayee, Samantha Akkineni, Priyamani, Sharib Hashmi",8.8,57632,2019– 
Lucifer,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,45,"Crime, Drama, Fantasy","Tom Ellis, Lauren German, Lesley-Ann Brandt, Kevin Alejandro",8.1,252826,2016– 
The Handmaid's Tale,"Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship.",42,"Drama, Sci-Fi, Thriller","Elisabeth Moss, Yvonne Strahovski, Joseph Fiennes, Ann Dowd",8.4,187007,2017– 
StartUp,"A desperate banker, a Haitian-American gang lord and a Cuban-American hacker are forced to work together to unwittingly create their version of the American dream - organized crime 2.0.",60,"Crime, Thriller","Adam Brody, Edi Gathegi, Otmara Marrero, Kristen Ariza",8.0,18165,2016–2018
Game of Thrones,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",44,"Action, Adventure, Drama","Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey",9.3,1823966,2011–2019
The Kominsky Method,"An aging actor, who long ago enjoyed a brush with fame, makes his living as an acting coach.",57,"Comedy, Drama","Michael Douglas, Sarah Baker, Graham Rogers, Melissa Tang",8.2,29990,2018–2021
Grey's Anatomy,A drama centered on the personal and professional lives of five surgical interns and their supervisors.,30,"Drama, Romance","Ellen Pompeo, Chandra Wilson, James Pickens Jr., Justin Chambers",7.5,261340,2005– 
The Blacklist,"A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.",41,"Crime, Drama, Mystery","James Spader, Megan Boone, Diego Klattenhoff, Ryan Eggold",8.0,207764,2013– 
Dirty John,Anthology series in which each season is based on a true crime story featuring an epic tale of love gone wrong.,43,"Crime, Drama","Connie Britton, Christian Slater, Eric Bana, Amanda Peet",7.2,16959,2018– 
The Walking Dead,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,44,"Drama, Horror, Thriller","Andrew Lincoln, Norman Reedus, Melissa McBride, Lauren Cohan",8.2,874725,2010–2022
Breaking Bad,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,44,"Crime, Drama, Thriller","Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt",9.4,1526926,2008–2013
Peaky Blinders,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",49,"Crime, Drama","Cillian Murphy, Paul Anderson, Helen McCrory, Sophie Rundle",8.8,380395,2013– 
The Boys,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,60,"Action, Comedy, Crime","Karl Urban, Jack Quaid, Antony Starr, Erin Moriarty",8.7,279838,2019– 
The Office,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.",60,Comedy,"Steve Carell, Jenna Fischer, John Krasinski, Rainn Wilson",8.9,441951,2005–2013
Vikings,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.",22,"Action, Adventure, Drama","Katheryn Winnick, Gustaf Skarsgård, Alexander Ludwig, Georgia Hirst",8.5,451657,2013–2020
