Date,Store,Dept,Weekly_Sales
2012-11-02,1,1,35733.732100000016
2012-11-02,1,2,47570.90130000002
2012-11-02,1,3,10664.6779
2012-11-02,1,4,38120.49939999999
2012-11-02,1,5,31335.37989999997
2012-11-02,1,6,4612.986600000003
2012-11-02,1,7,23874.52380000001
2012-11-02,1,8,39301.65189999999
2012-11-02,1,9,42587.40130000005
2012-11-02,1,10,31814.688600000005
2012-11-02,1,11,25975.390200000013
2012-11-02,1,12,9943.469200000003
2012-11-02,1,13,43092.0308
2012-11-02,1,14,14246.929700000006
2012-11-02,1,16,6140.1066
2012-11-02,1,17,8838.216699999997
2012-11-02,1,18,12159.479299999997
2012-11-02,1,19,973.1931000000003
2012-11-02,1,20,3621.7879
2012-11-02,1,21,8480.826900000004
2012-11-02,1,22,8062.678800000008
2012-11-02,1,23,23692.477199999994
2012-11-02,1,24,6258.369299999996
2012-11-02,1,25,10763.141199999998
2012-11-02,1,26,7734.210499999999
2012-11-02,1,27,1810.0470000000007
2012-11-02,1,28,771.5727000000002
2012-11-02,1,29,4858.506799999997
2012-11-02,1,30,2432.9556000000007
2012-11-02,1,31,1932.6645999999998
2012-11-02,1,32,6735.160099999997
2012-11-02,1,33,6502.744199999997
2012-11-02,1,34,12032.169900000003
2012-11-02,1,35,2568.173299999999
2012-11-02,1,36,1881.8558999999989
2012-11-02,1,37,2857.3266999999996
2012-11-02,1,38,85777.61599999998
2012-11-02,1,40,62789.61350000001
2012-11-02,1,41,1155.5126
2012-11-02,1,42,8181.645599999994
2012-11-02,1,44,5796.939299999999
2012-11-02,1,46,18637.143200000006
2012-11-02,1,48,2305.05
2012-11-02,1,49,10245.403499999993
2012-11-02,1,52,2074.6206
2012-11-02,1,55,14020.435700000005
2012-11-02,1,56,1229.5937
2012-11-02,1,58,3368.83
2012-11-02,1,59,653.5208999999996
2012-11-02,1,60,1257.8880000000001
2012-11-02,1,67,6151.397999999997
2012-11-02,1,71,2560.5492000000004
2012-11-02,1,72,54387.02970000003
2012-11-02,1,74,10000.495499999997
2012-11-02,1,79,43049.185699999995
2012-11-02,1,80,19250.011399999996
2012-11-02,1,81,31080.070699999986
2012-11-02,1,82,20105.986
2012-11-02,1,83,5797.8771
2012-11-02,1,85,3144.591899999999
2012-11-02,1,87,59834.69279999994
2012-11-02,1,90,90874.21760000008
2012-11-02,1,91,63726.12319999999
2012-11-02,1,92,100000.0
2012-11-02,1,93,77254.64709999999
2012-11-02,1,94,61349.57959999998
2012-11-02,1,95,100000.0
2012-11-02,1,96,33054.496199999994
2012-11-02,1,97,34109.08719999998
2012-11-02,1,98,12987.282600000004
2012-11-02,1,99,178.54510000000002
2012-11-09,1,1,20574.7805
2012-11-09,1,2,47719.3266
2012-11-09,1,3,11101.237700000005
2012-11-09,1,4,37633.46370000001
2012-11-09,1,5,34437.08350000001
2012-11-09,1,6,3785.6988000000006
2012-11-09,1,7,25592.476400000014
2012-11-09,1,8,36555.939399999974
2012-11-09,1,9,34251.915699999976
2012-11-09,1,10,31977.976499999993
2012-11-09,1,11,24208.016100000008
2012-11-09,1,12,10150.553999999998
2012-11-09,1,13,41168.03640000002
2012-11-09,1,14,17970.877800000006
2012-11-09,1,16,6529.505899999997
2012-11-09,1,17,8929.5065
2012-11-09,1,18,11841.451399999996
2012-11-09,1,19,939.3628000000007
2012-11-09,1,20,3673.7191000000003
2012-11-09,1,21,8373.265600000002
2012-11-09,1,22,7706.584800000003
2012-11-09,1,23,22090.129200000003
2012-11-09,1,24,6402.146699999998
2012-11-09,1,25,10030.52679999999
2012-11-09,1,26,7560.228899999999
2012-11-09,1,27,1753.7486
2012-11-09,1,28,730.5807
2012-11-09,1,29,4566.248200000003
2012-11-09,1,30,2487.6815
2012-11-09,1,31,1631.9475999999981
2012-11-09,1,32,6737.739899999997
2012-11-09,1,33,6264.5915
2012-11-09,1,34,11519.076500000001
2012-11-09,1,35,2517.6570999999994
2012-11-09,1,36,1545.8029000000004
2012-11-09,1,37,2951.7347999999993
2012-11-09,1,38,81037.32359999999
2012-11-09,1,40,61214.63690000002
2012-11-09,1,41,1089.2714000000003
2012-11-09,1,42,8238.645299999996
2012-11-09,1,44,5901.743299999997
2012-11-09,1,46,18279.18829999999
2012-11-09,1,48,1987.63
2012-11-09,1,49,9724.364899999997
2012-11-09,1,52,2062.7623000000003
